Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,budo_indx
0.61,-0.14465994,0.15,0.28,-0.06,-0.17,16.80138637,0
0.21,-0.144873146,0.64,0.06,0.21,0.18,17.47580832,0
0.06,-0.123215003,0.58,0.3,0.25,0.38,17.53664348,0
0.02,-0.143487309,0.71,0.15,0.2,0.16,17.05283083,0
0.13,-0.126821732,0.59,0.04,0.29,0.4,16.9991348,0
0.07,-0.151606892,0.84,0.28,-0.04,0.12,16.7493836,0
0.13,-0.144553338,0.58,0.27,0.29,0.34,17.97507319,0
0.25,-0.141692828,0.41,0.24,0.17,0.22,17.35634071,0
0.14,-0.144731009,0.87,0.03,1.04,0.08,17.49883848,0
0.02,-0.14465994,0.46,0.27,0.41,0.53,17.24697963,0
0.2,-0.14540616,0.86,0.1,0.28,0.11,17.5066288,0
0.64,-0.086987805,0.3,0.05,0.32,0.68,16.51487495,0
0.13,-0.142527884,1.18,0.2,1.17,-0.29,16.35822312,0
0.06,-0.064085961,0.77,0.06,0.63,0.12,18.03938624,0
0.06,-0.127425815,0.74,0.14,0.42,0.05,17.77486014,0
0.18,-0.143540611,0.95,0.01,0.61,-0.04,15.96480915,0
0.11,-0.122930729,0.49,0.02,0.68,0.3,16.46313161,0
0.01,-0.144038091,0.76,0.03,0.2,0.09,16.11796804,0
0.26,-0.128740583,0.33,0.14,0.75,0.63,17.82267195,0
0.14,-0.137997263,0.47,0.13,0.38,0.49,16.01665954,0
0.18,-0.147165107,0.51,0.09,0.15,0.23,18.41666014,0
0.17,-0.134550438,0.79,0.21,0.38,0.1,16.45507319,0
0.11,-0.146454422,0.83,0.02,0.65,0.11,16.67185898,0
0.08,-0.145637133,0.66,0.04,0.32,0.13,19.6857095,0
0.09,-0.145850339,0.64,0.14,0.34,0.13,19.80136265,0
0.04,-0.14465994,0.28,0.56,0.87,0.28,17.77093164,0
0.02,-0.110031785,0.74,0.22,0.24,0.23,16.68225334,0
0.23,-0.144642173,0.85,0.12,0.27,0.06,17.16700317,0
0.3,-0.160597065,0.73,0.1,-0.18,0,16.87851542,0
0.03,-0.143398474,0.74,0.49,0.48,0.15,16.451964,0
0.08,-0.124654141,0.58,0.19,0.51,0.37,16.11885896,0
0.15,-0.141923801,0.82,0.01,0.09,0.06,15.95002227,0
0.26,-0.146436654,0.9,0.01,0.36,-0.01,16.66365592,0
0.53,-0.144979749,0.75,0.02,0.46,0.09,16.70657063,0
0.11,-0.002433986,0.5,0.14,0.56,0.22,18.04191037,0
0.13,-0.131814298,0.68,0.09,0.31,0.3,16.45650216,0
0.05,-0.145317325,0.32,0.12,0.4,0.25,17.16578388,0
0.24,-0.143842652,0.8,0.17,0.5,0,16.12699622,0
0.07,-0.138174934,0.41,0.11,0.6,0.25,17.897537,0
0.42,-0.143451775,0.64,0.09,0.35,0.19,17.06448314,0
0.14,-0.134088492,0.71,0.02,0.56,0.15,16.04482417,0
0.11,-0.113780652,0.33,0.7,0.39,0.19,16.42125683,0
0.19,-0.11372735,0.24,0.25,0.27,0.72,16.01164588,0
0.1,-0.140822238,0.66,0.2,0.73,0.26,16.27844806,0
0.07,-0.139862813,0.39,0.27,0.46,0.54,16.3816509,0
0.01,-0.122753057,0.49,0.56,0.18,0.25,18.64807335,0
0.08,8.069728408,0.17,0.16,0.59,0.76,18.31744732,0
0.09,-0.145939175,0.77,0.1,0.22,0.03,16.36622196,0
0.13,-0.086792366,0.5,0.64,0.6,0.49,16.06858214,0
0.05,-0.14752045,0.66,0.18,0.66,0.15,17.62698116,0
0.23,-0.14901289,0.77,0.03,0.46,0.2,16.13249607,0
0.06,-0.1218647,0.45,0.14,0.52,0.29,17.14154705,0
0.34,-0.15366788,0.62,0.01,0.21,0.03,15.96916771,0
0.16,-0.145388393,0.62,0.22,0.27,-0.11,17.03340206,0
0.06,-0.102534052,0.57,0.3,0.32,0.35,17.40509805,0
0.12,-0.146187915,0.84,0.09,0.41,0.1,15.95400596,0
0.02,-0.070997379,0.57,0.13,0.55,0.42,16.15560557,0
0.13,-0.147165107,0.69,0.09,0.44,0.06,17.08025495,0
0.21,-0.145743736,0.77,0.06,0.64,0.2,17.26259281,0
0.05,-0.141977102,0.88,0.29,0.49,0.05,16.59431697,0
0.31,4.314128163,0.19,0.16,0.39,0.5,16.08915457,0
0.12,-0.1406268,0.71,0.13,0.6,0.27,17.00281902,0
0.01,-0.134479369,0.61,0.27,0.23,0.23,17.15861488,0
0.09,-0.142492349,0.67,0.12,0.42,0.31,16.06856365,0
0.08,0.337273727,0.07,0.3,0.38,0.66,16.85508128,0
0.05,1.101402875,0.38,0.52,0.45,0.34,16.92211037,0
0.43,-0.149599205,0.85,0,0.68,-0.09,17.46635065,0
0.23,-0.145512763,0.75,0.3,0.1,0.11,16.0262482,0
0.08,-0.143487309,0.76,0.25,0.23,0.18,16.39883966,0
0.14,-0.143114199,0.51,0.06,0.26,0.26,17.10293275,0
0.28,-0.146987436,0.49,0.09,0.22,0.02,17.50657091,0
0.06,-0.137659687,0.66,0.12,1.7,0.31,16.67298136,0
0.08,-0.137482016,0.65,0.42,0.09,0.21,18.94946919,0
0.17,-0.125951142,0.31,0.02,0.16,0.33,19.79811491,0
0.08,-0.145175188,0.71,0.06,0.51,-0.04,16.35169784,0
0.15,-0.097239444,0.38,0.16,0.58,0.34,17.64178875,0
0.27,-0.140573498,0.71,0.19,0.23,0.19,16.18907402,0
0.07,-0.130055352,0.5,0.04,0.42,0.31,16.63379783,0
0.01,-0.142350212,0.64,0.12,0.69,-0.16,15.95950863,0
0.06,-0.118186902,0.62,0.07,0.57,0.37,16.88246964,0
0.01,-0.147307244,0.88,0.13,1.14,0.09,15.93465347,0
0.12,-0.135332192,0.53,0.05,1.34,0.22,17.12559091,0
0.05,-0.14465994,0.17,0.84,0.58,0.76,17.88190263,0
0.17,-0.168734415,0.22,0.58,0.43,0.02,16.58857011,0
0,-0.137055605,0.71,0.12,0.35,0.24,16.19390158,0
0.06,-0.06216711,0.18,0.54,0.91,0.44,21.08983937,0
0.3,-0.144375666,0.68,0.09,0.32,0.29,16.27939197,0
0.22,-0.142048171,0.54,0.38,0.48,0.41,18.43625706,0
0.07,-0.151304851,0.88,0.54,0.48,-0.05,16.2661712,0
0.08,-0.135349959,0.56,0.13,0.92,0.24,22.44485299,0
0.2,-0.137126673,0.53,0.19,0.49,0.24,16.74282501,0
0.01,-0.146987436,1.19,0.13,0.46,-0.46,16.13625458,0
0.11,-0.138068332,0.38,0.12,0.5,0.45,18.06692026,0
0.09,-0.133875287,0.4,0.1,0.9,0.46,16.85708441,0
0.08,-0.121100713,0.45,0.16,0.87,0.51,16.9174769,0
0.18,-0.088231504,0.41,0.18,0.4,0.24,18.16173071,0
0.01,-0.133999657,0.48,0.62,0.22,0.29,16.13427988,0
0.84,-0.152513016,0.75,0.02,0.12,-0.05,16.15212706,0
0.07,-0.142065938,0.79,0.04,0.39,0.01,16.14752678,0
0.41,-0.17783119,0.13,0.01,0.14,0.37,16.59598591,0
0.26,-0.143949255,0.78,0,0.95,0.15,16.24312773,0
0.01,-0.141639527,0.86,0.05,0.27,0.03,16.00988541,0
0.03,-0.146934134,0.76,0.05,0.17,-0.27,15.98996837,0
0.08,-0.134763644,0.68,0.03,0.72,0.27,16.03615713,0
0.01,-0.147058504,0.89,0.23,0.32,-0.01,16.0327213,0
0.09,-0.142154774,0.72,0.05,0.49,0.14,17.57843096,0
0.2,-0.142456815,0.54,0.47,0.44,0.15,16.55117735,0
0.16,-0.150931741,0.69,0.32,0.13,0.23,16.25068603,0
0.1,-0.143238569,0.76,0.15,0.32,-0.01,18.18400357,0
0.13,-0.138583579,0.3,0,0.32,0.08,18.66402497,0
0.06,-0.145388393,0.75,0.05,0.49,0.06,16.12183973,0
0.08,-0.081462224,0.3,0.36,0.39,0.32,16.10060915,0
0.24,-0.144926448,0.57,0.31,0.44,0.04,17.01920757,0
