,fold,train/test,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,target,predict,estm 0 proba 0,estm 0 proba 1,estm 1 proba 0,estm 1 proba 1,estm 2 proba 0,estm 2 proba 1,estm 3 proba 0,estm 3 proba 1,estm 4 proba 0,estm 4 proba 1,estm 5 proba 0,estm 5 proba 1
26,1,train,0.3,-0.063695084,0.43,0.08,0.69,0.47,17.1602586,0,False,0.5364996818506884,0.46350031814931153,0.47236953027467454,0.5276304697253255,0.5388476582975918,0.46115234170240815,0.38770151025287847,0.6122984897471215,0.48096690462709657,0.5190330953729034,0.5098020220692665,0.49019797793073344
27,1,train,0.1,-0.118702149,0.47,0.11,0.66,0.5,17.01420053,0,False,0.5353937615330557,0.4646062384669443,0.4717248789836501,0.5282751210163499,0.5378778075162204,0.4621221924837796,0.3877791112107325,0.6122208887892675,0.48253100675670213,0.5174689932432979,0.5096222259690588,0.4903777740309412
28,1,train,0.13,-0.144162461,0.79,0.03,0.79,0.03,16.73964548,0,False,0.521611405379403,0.478388594620597,0.47026836898667956,0.5297316310133204,0.5113125686220356,0.48868743137796444,0.38668022201602403,0.613319777983976,0.47407624572920215,0.5259237542707978,0.5099866150227418,0.4900133849772582
29,1,train,0.06,-0.097807993,0.49,0.16,0.31,0.23,17.32477226,0,False,0.5255516145373673,0.47444838546263274,0.4728608033571987,0.5271391966428013,0.5246137560292985,0.47538624397070156,0.38491425788573463,0.6150857421142654,0.47290125619233847,0.5270987438076615,0.5095083371025264,0.49049166289747365
30,1,train,0.22,-0.147289477,0.66,0.55,0.09,0.29,16.68514228,0,False,0.5254787190454698,0.47452128095453017,0.47265145484145976,0.5273485451585402,0.5232619530847671,0.47673804691523286,0.3839809825053009,0.6160190174946991,0.46415311795343206,0.5358468820465679,0.5095964587275353,0.49040354127246466
31,1,train,0.01,-0.146045777,0.38,0.29,0.14,0.5,17.67638495,0,False,0.5320057874661882,0.4679942125338118,0.4737886454036272,0.5262113545963728,0.536013148549344,0.46398685145065593,0.3848517921476541,0.6151482078523459,0.47483505810262405,0.525164941897376,0.5093507361803626,0.49064926381963736
32,1,train,0.09,0.011886328,0.31,0.33,0.69,0.67,15.93141228,0,False,0.5435709835814448,0.4564290164185552,0.47127291692454654,0.5287270830754535,0.5566559933396942,0.44334400666030577,0.388705199985268,0.611294800014732,0.487549005905326,0.512450994094674,0.5093649595147756,0.4906350404852245
33,1,train,0.05,-0.145672667,0.76,0.02,0.12,0.13,15.98177065,0,True,0.5106246742236114,0.48937532577638865,0.47032068342778555,0.5296793165722145,0.5115504638747077,0.48844953612529235,0.38620350270705983,0.6137964972929402,0.46489295218008597,0.535107047819914,0.5089160864140054,0.4910839135859945
34,1,train,0.13,-0.139987183,0.68,0.27,0.26,0.06,16.30184386,0,False,0.518724410487104,0.4812755895128959,0.4714102727213172,0.5285897272786828,0.5148577088846928,0.48514229111530716,0.3844642380297475,0.6155357619702525,0.4655178435558537,0.5344821564441463,0.509448333985135,0.49055166601486505
35,1,train,0.09,-0.142492349,0.52,0.37,0.15,0.25,16.80047967,0,False,0.5256232047544944,0.4743767952455056,0.47273556928612315,0.5272644307138769,0.5256000037223505,0.47439999627764945,0.3840404033786581,0.6159595966213419,0.46838062801563896,0.531619371984361,0.509367022251513,0.490632977748487
36,1,train,0.07,-0.14465994,0.28,0.24,0.55,0.68,16.53116987,0,False,0.5419831917930753,0.45801680820692475,0.47193919056876255,0.5280608094312375,0.5523613873764824,0.44763861262351756,0.3875469337746197,0.6124530662253803,0.48472786562540127,0.5152721343745987,0.5092203375011088,0.4907796624988912
37,1,train,0.08,-0.126146581,0.39,0.41,0.81,0.41,16.86277618,0,False,0.542961565702746,0.457038434297254,0.4720752526125964,0.5279247473874036,0.5423354865329544,0.4576645134670457,0.3859483230816595,0.6140516769183405,0.4839028455147045,0.5160971544852955,0.5099128864546549,0.49008711354534507
38,1,train,0.07,-0.143984789,0.68,0.05,0.6,0.2,15.94515983,0,False,0.5225700653796449,0.4774299346203551,0.4697253278780742,0.5302746721219258,0.5213388295928257,0.47866117040717426,0.3873772568955529,0.6126227431044471,0.4746611258158928,0.5253388741841072,0.5094076137854173,0.4905923862145827
39,1,train,0.12,-0.135847439,0.41,0.17,0.4,0.21,16.97117098,0,False,0.5287862735386848,0.4712137264613152,0.4725998146233237,0.5274001853766763,0.5283558955461914,0.47164410445380855,0.3846557243529244,0.6153442756470756,0.47360811921230916,0.5263918807876908,0.509461045128994,0.490538954871006
40,1,train,0.26,-0.058897957,0.35,0.53,0.28,0.57,17.15440088,0,False,0.5399941997565197,0.46000580024348026,0.4739103012481515,0.5260896987518485,0.545754149531965,0.454245850468035,0.3851215682909447,0.6148784317090553,0.4751475697457407,0.5248524302542593,0.5096653385002374,0.4903346614997625
