,fold,train/test,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,target,predict,total_proba,estm 0 proba 0,estm 0 proba 1,estm 1 proba 0,estm 1 proba 1,estm 2 proba 0,estm 2 proba 1,estm 3 proba 0,estm 3 proba 1,estm 4 proba 0,estm 4 proba 1,estm 5 proba 0,estm 5 proba 1,estm 6 proba 0,estm 6 proba 1,estm 7 proba 0,estm 7 proba 1,estm 8 proba 0,estm 8 proba 1,estm 9 proba 0,estm 9 proba 1,estm 10 proba 0,estm 10 proba 1,estm 11 proba 0,estm 11 proba 1,estm 12 proba 0,estm 12 proba 1,estm 13 proba 0,estm 13 proba 1
1678,26.0,test,0.09,-0.130606133,0.63,0.21,0.37,0.3,16.04560829,0.0,0.0,0.38409238593176737,0.8054737742517848,0.19452622574821526,0.8895908682302274,0.11040913176977263,0.30255609380472115,0.6974439061952789,0.7696262257599495,0.23037377424005048,0.37860369354781787,0.6213963064521821,0.6087405341839622,0.39125946581603777,0.33368246747282837,0.6663175325271716,0.7336034836719746,0.2663965163280254,0.47572439975279013,0.5242756002472099,0.5667551533084977,0.4332448466915023,0.489510915586723,0.510489084413277,0.557434387531925,0.44256561246807496,0.6410051209785822,0.3589948790214178,0.530912467909511,0.46908753209048903
1679,26.0,test,0.48,-0.147058504,0.72,0.05,0.25,0.04,17.02863805,0.0,1.0,0.5858002180184008,0.1870753318452617,0.8129246681547383,0.4215734303937124,0.5784265696062876,0.6930067233515484,0.3069932766484515,0.2693872788166838,0.7306127211833162,0.593298960444735,0.406701039555265,0.5406790725627845,0.45932092743721553,0.3964797452762012,0.6035202547237988,0.5500616376217702,0.4499383623782298,0.3750784700010763,0.6249215299989237,0.413328550201734,0.586671449798266,0.5562108917400721,0.4437891082599279,0.5442404342338603,0.45575956576613974,0.5089077382841404,0.4910922617158596,0.45739595190056037,0.5426040480994396
1680,26.0,test,0.0,-0.140413594,0.39,0.53,0.36,0.44,18.48926809,0.0,0.0,0.24649866421756475,0.9981292819626972,0.0018707180373027476,0.9449123981440666,0.0550876018559334,0.7342087239055672,0.2657912760944328,0.8647695833673262,0.13523041663267377,0.2841820111064426,0.7158179888935574,0.760021308976564,0.239978691023436,0.6974430102138716,0.3025569897861285,0.5057533430956976,0.49424665690430236,0.8372917966073828,0.16270820339261718,0.543461137638248,0.456538862361752,0.6403329805185981,0.3596670194814019,0.422468310746804,0.577531689253196,0.7780937708824811,0.22190622911751892,0.4424908160965326,0.5575091839034674
1681,26.0,test,0.11,-0.139223196,0.72,0.09,0.24,0.04,17.73455921,0.0,1.0,0.5180408662227016,0.4459687592814989,0.5540312407185011,0.3557947237781619,0.6442052762218381,0.6020541998102031,0.39794580018979686,0.6074611611661885,0.39253883883381147,0.5130395086520411,0.48696049134795893,0.4020126521355343,0.5979873478644657,0.5497030373527743,0.45029696264722574,0.4804362862071181,0.5195637137928819,0.5001473369612358,0.4998526630387642,0.5478225851197018,0.4521774148802982,0.3600770053287675,0.6399229946712325,0.3550664179632581,0.6449335820367419,0.47658448898652495,0.523415511013475,0.42946023275302003,0.57053976724698
1682,26.0,test,0.18,-0.149314931,0.76,0.28,0.33,-0.36,17.61192388,0.0,1.0,0.7753890264359254,0.044259768501443864,0.9557402314985561,0.03413649971254884,0.9658635002874512,0.2142224653981495,0.7857775346018505,0.10226652332872854,0.8977334766712715,0.31690048616906497,0.683099513830935,0.054189238275524576,0.9458107617244754,0.27941009400757466,0.7205899059924253,0.3679838812298475,0.6320161187701525,0.3197038329045959,0.6802961670954041,0.5545659448951676,0.44543405510483236,0.5987082647468063,0.4012917352531937,0.38212312446602703,0.617876875533973,0.4252665764779191,0.5747334235220809,0.4410613403021644,0.5589386596978356
1683,26.0,test,0.13,-0.131281284,0.87,0.2,0.58,-0.01,17.93042539,0.0,0.0,0.43680145319539004,0.791107351171708,0.20889264882829192,0.5090816131947653,0.4909183868052347,0.6406613749088235,0.3593386250911766,0.2669828177405622,0.7330171822594378,0.7320637565461274,0.26793624345387257,0.4466601433028319,0.5533398566971681,0.3258793083339381,0.6741206916660619,0.4394431679682801,0.5605568320317199,0.5186372559941053,0.4813627440058947,0.6682000675317726,0.33179993246822737,0.2885112449706738,0.7114887550293262,0.4026710848748529,0.5973289151251471,0.508567885864927,0.4914321141350731,0.5061868051092918,0.4938131948907082
1684,26.0,test,0.06,0.249326385,0.12,0.34,0.62,0.45,20.65468321,0.0,0.0,0.1466979297299406,0.9875102731113676,0.012489726888632332,0.9907832354031986,0.00921676459680142,0.9461816511584571,0.053818348841542955,0.6939963733161065,0.3060036266838935,0.8711872839198425,0.1288127160801575,0.9446419368298902,0.05535806317010986,0.8487917140492873,0.1512082859507127,0.5789730740695049,0.421026925930495,0.9388154747370523,0.06118452526294771,0.7758891031538969,0.2241108968461031,0.5938521654807434,0.40614783451925657,0.5962107362321212,0.40378926376787877,0.7372839799143929,0.26271602008560707,0.5146420747456097,0.4853579252543903
1685,26.0,test,0.24,-0.144233529,0.6,0.07,0.56,0.28,15.91080023,0.0,0.0,0.3901200741219349,0.7705988923524747,0.22940110764752533,0.7308321552075714,0.2691678447924286,0.3135648660872895,0.6864351339127105,0.646027527354858,0.353972472645142,0.39921474754828035,0.6007852524517197,0.5883112171730815,0.41168878282691845,0.5970990588189138,0.40290094118108616,0.7414482012710477,0.2585517987289523,0.5185853709117776,0.4814146290882224,0.6215811127083659,0.37841888729163403,0.5437669847817759,0.45623301521822407,0.633159041320471,0.36684095867952904,0.4979889313790411,0.5020110686209589,0.5524454562474495,0.4475545437525506
1686,26.0,test,0.02,-0.143629446,0.72,0.03,0.25,0.14,16.48341971,0.0,1.0,0.5172816714526132,0.6441900625766199,0.35580993742338,0.3922343466336573,0.6077656533663427,0.2887264759719962,0.7112735240280038,0.38378902669465287,0.6162109733053471,0.5077593331519079,0.49224066684809203,0.6171196729444531,0.38288032705554687,0.3458065861482359,0.6541934138517641,0.4362217620773928,0.5637782379226072,0.5037102093519836,0.49628979064801637,0.5909937342554881,0.4090062657445119,0.32050709525608856,0.6794929047439114,0.4133246916426737,0.5866753083573263,0.6266476970221848,0.37335230297781513,0.4072270249620763,0.5927729750379237
1687,26.0,test,0.42,-0.148248903,0.4,0.6,0.1,0.31,17.18553071,0.0,0.0,0.4795252239492098,0.5108346002362174,0.48916539976378254,0.513944227434356,0.486055772565644,0.42736522220628215,0.5726347777937179,0.3493535483982583,0.6506464516017417,0.6078023054769924,0.39219769452300757,0.23948183875887374,0.7605181612411263,0.8704157939242647,0.12958420607573531,0.4857794918708124,0.5142205081291876,0.8792864785094573,0.12071352149054267,0.21378426497695713,0.7862157350230429,0.5609047709760067,0.4390952290239933,0.7244694385079999,0.27553056149200006,0.31379499958479296,0.686205000415207,0.45181396638416904,0.548186033615831
