,fold,train/test,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,target,predict,total_proba,estm 0 proba 0,estm 0 proba 1,estm 1 proba 0,estm 1 proba 1,estm 2 proba 0,estm 2 proba 1,estm 3 proba 0,estm 3 proba 1,estm 4 proba 0,estm 4 proba 1,estm 5 proba 0,estm 5 proba 1,estm 6 proba 0,estm 6 proba 1,estm 7 proba 0,estm 7 proba 1,estm 8 proba 0,estm 8 proba 1,estm 9 proba 0,estm 9 proba 1,estm 10 proba 0,estm 10 proba 1
1025,22.0,test,0.09,-0.142527884,0.6,0.16,0.26,0.04,18.55554183,0.0,0.0,0.42509076712579935,0.7282722554844201,0.27172774451557985,0.4634619861758481,0.5365380138241519,0.42800135783523396,0.571998642164766,0.7431913499370795,0.2568086500629206,0.6178180157692159,0.38218198423078403,0.6037339515704203,0.39626604842957974,0.2808210140445567,0.7191789859554433,0.610964490507289,0.38903550949271104,0.327720560347762,0.672279439652238,0.6148124219093153,0.3851875780906847,0.4954426259582595,0.5045573740417405
1026,22.0,test,0.04,4.816973754,0.34,0.21,0.42,0.55,20.61827199,0.0,0.0,0.023998966174707963,0.9992457204441129,0.0007542795558870853,0.9990180567176472,0.0009819432823528014,0.9839482752181061,0.016051724781893845,0.9800973922477986,0.019902607752201398,0.9877981309851684,0.012201869014831532,0.967856646196799,0.03214335380320103,0.9950755171003951,0.004924482899604845,0.9779682049303221,0.02203179506967794,0.9629993159904683,0.03700068400953175,0.8362867659791877,0.16371323402081225,0.9874731468969523,0.012526853103047663
1027,22.0,test,0.03,-0.102871628,0.56,0.46,0.58,0.4,17.01293212,0.0,0.0,0.24358183923661164,0.9603440557508486,0.039655944249151386,0.9200240609734579,0.07997593902654208,0.7970577154141072,0.20294228458589286,0.7910339848253221,0.208966015174678,0.5447605022763505,0.45523949772364947,0.311863886564951,0.688136113435049,0.8472076677947852,0.15279233220521482,0.705670288231815,0.294329711768185,0.44344403829405743,0.5565559617059426,0.5436444257970725,0.45635557420292755,0.5615826397703498,0.4384173602296501
1028,22.0,test,0.53,-0.14789356,0.43,0.16,0.31,-0.19,17.88075238,0.0,1.0,0.6121949535867802,0.1435762112418998,0.8564237887581002,0.4415499528587674,0.5584500471412326,0.5034820915585516,0.49651790844144833,0.5649620489766564,0.43503795102334364,0.4744395514021038,0.5255604485978962,0.5416851723976877,0.4583148276023123,0.5673508823630256,0.4326491176369745,0.27447242795945503,0.725527572040545,0.645861506187339,0.35413849381266105,0.4115457407280213,0.5884542592719787,0.4454871673070503,0.5545128326929497
1029,22.0,test,0.09,14.77044528,0.25,0.23,0.49,-0.21,16.31129112,0.0,0.0,0.0018617402253440567,0.9999417336772756,5.826632272441242e-05,0.9998887375177479,0.00011126248225207541,0.9984470772473999,0.0015529227526001304,0.9992104326655943,0.0007895673344057456,0.9968745603524045,0.0031254396475955343,0.9974692943228473,0.002530705677152764,0.996576979135703,0.0034230208642970048,0.9913066833165947,0.008693316683405299,0.9988009652741732,0.0011990347258267805,0.9990612150593698,0.0009387849406301178,0.9885223499811009,0.011477650018899164
1030,22.0,test,0.07,-0.111346553,0.44,0.11,0.48,0.14,19.38509501,0.0,0.0,0.30817354107901307,0.9386486147360137,0.06135138526398628,0.8628595337369055,0.1371404662630945,0.5032205240691173,0.4967794759308827,0.6722289079814044,0.32777109201859556,0.5963161522289769,0.40368384777102306,0.6408149210238588,0.35918507897614116,0.6402772623381605,0.3597227376618395,0.6152133113969938,0.38478668860300624,0.2732588146900188,0.7267411853099812,0.41541230025313824,0.5845876997468618,0.4731655580861521,0.5268344419138479
1031,22.0,test,0.15,-0.143380706,0.61,0.08,0.29,0.08,16.10843322,0.0,0.0,0.4904330644574833,0.5236686227718776,0.4763313772281223,0.4946007143864184,0.5053992856135816,0.4756245143630964,0.5243754856369036,0.4584278090910141,0.5415721909089859,0.4150211804594103,0.5849788195405897,0.5655353523925593,0.43446464760744075,0.5101714330756711,0.48982856692432886,0.49170354112060943,0.5082964588793906,0.3508207615235652,0.6491792384764348,0.6887066366194841,0.3112933633805159,0.6028420694704677,0.39715793052953224
1032,22.0,test,0.14,-0.146561024,0.55,0.11,0.62,0.01,18.91094144,0.0,0.0,0.4547187103630718,0.6811664845976109,0.3188335154023891,0.6400839785500259,0.35991602144997414,0.2918526334505265,0.7081473665494735,0.6932131639567081,0.30678683604329193,0.544270702687349,0.45572929731265094,0.510716622823844,0.48928337717615605,0.4420744331823854,0.5579255668176146,0.49380562090966273,0.5061943790903373,0.2650596365590936,0.7349403634409064,0.4276114379688414,0.5723885620311586,0.5422913091630448,0.4577086908369552
1033,22.0,test,0.41,-0.151109412,0.92,0.09,0.19,-0.59,16.20918959,0.0,1.0,0.7458069045929983,0.008419628522687073,0.9915803714773129,0.2911811493905071,0.7088188506094929,0.3884313979408608,0.6115686020591392,0.624127072744155,0.3758729272558449,0.270038370581403,0.729961629418597,0.16082203942857276,0.8391779605714272,0.4299067276176973,0.5700932723823027,0.23074486356156787,0.7692551364384321,0.3005384570190496,0.6994615429809504,0.5157737085585747,0.48422629144142526,0.27188855281317026,0.7281114471868297
1034,22.0,test,0.1,-0.147538217,0.84,0.34,0.43,0.09,16.00813948,0.0,0.0,0.5048643379794773,0.5529336862544127,0.4470663137455873,0.5046837846289844,0.4953162153710156,0.2990615865623567,0.7009384134376433,0.598628405466932,0.4013715945330681,0.6425676153555318,0.3574323846444682,0.3576642480392631,0.6423357519607369,0.36464176978230745,0.6353582302176926,0.343805157435377,0.656194842564623,0.6645844431472582,0.3354155568527418,0.3902478120642736,0.6097521879357264,0.6011677594068221,0.39883224059317784
1035,22.0,test,0.1,-0.140342526,0.76,0.07,1.11,0.18,16.4319894,0.0,0.0,0.3823083665734247,0.714922865249681,0.28507713475031904,0.5342918447813186,0.46570815521868136,0.6217226525426137,0.3782773474573863,0.6327696162990908,0.3672303837009092,0.43335765202432663,0.5666423479756734,0.4867060127682369,0.5132939872317631,0.7977880486275799,0.20221195137242004,0.4795917554144551,0.5204082445855449,0.5956805215913739,0.4043194784086262,0.7276455074880144,0.2723544925119856,0.35955691249023725,0.6404430875097628
1036,22.0,test,0.0,-0.104328533,0.62,0.26,0.33,0.33,16.10017727,0.0,0.0,0.32919657384186685,0.9018716191776903,0.09812838082230971,0.8092854754715256,0.19071452452847434,0.6630377239015215,0.33696227609847845,0.5810661553768246,0.41893384462317534,0.48460704901569984,0.5153929509843002,0.5628634603968022,0.43713653960319776,0.5054371094238124,0.4945628905761876,0.49003172813592055,0.5099682718640794,0.5318346023058954,0.4681653976941046,0.40493528947390267,0.5950647105260973,0.5098843240436399,0.4901156759563601
1037,22.0,test,0.06,-0.14801793,0.65,0.09,0.28,0.28,16.32521949,0.0,0.0,0.4321427279780759,0.7885779615308797,0.2114220384691203,0.5597629021821878,0.4402370978178122,0.47741629767951377,0.5225837023204862,0.4219953219952184,0.5780046780047816,0.3949141301013184,0.6050858698986816,0.6336400250026486,0.36635997499735146,0.5691886003278213,0.4308113996721788,0.5241683872753954,0.4758316127246046,0.31945164537856496,0.680548354621435,0.41102338374741365,0.5889766162525863,0.4118236265906938,0.5881763734093062
1038,22.0,test,0.0,-0.137055605,0.71,0.12,0.35,0.24,16.19390158,0.0,0.0,0.4140549966140289,0.7637866958467323,0.23621330415326774,0.47252444507871016,0.5274755549212898,0.4748828873417913,0.5251171126582087,0.517840572455857,0.48215942754414304,0.5925320532405309,0.407467946759469,0.6493586399168527,0.35064136008314734,0.4930464275406945,0.5069535724593055,0.6280068992162967,0.3719931007837033,0.5133343949293874,0.4866656050706126,0.41290636659816016,0.5870936334018398,0.46892810181127986,0.5310718981887201
1039,22.0,test,0.12,-0.137855126,0.77,0.07,0.57,0.18,16.7100317,0.0,0.0,0.44396419111441576,0.767995824662965,0.232004175337035,0.5526119897854094,0.4473880102145907,0.3853388804849719,0.6146611195150281,0.4218335198527715,0.5781664801472285,0.444053466900727,0.555946533099273,0.5367674312753437,0.4632325687246564,0.45375851787942445,0.5462414821205755,0.39551127984668144,0.6044887201533186,0.47213988657231065,0.5278601134276893,0.45614874907365854,0.5438512509263415,0.5642061076757385,0.4357938923242614
1040,22.0,test,0.08,-0.134141794,0.37,0.07,0.52,0.44,17.39331246,0.0,0.0,0.1740841620863966,0.9881746841031743,0.011825315896825618,0.9086932012879196,0.09130679871208035,0.6835806228692427,0.3164193771307573,0.9261696983086534,0.07383030169134659,0.6290419158052504,0.3709580841947496,0.7812531800971616,0.21874681990283842,0.799247954548513,0.20075204545148698,0.7046937546450154,0.2953062453549847,0.5763841283621078,0.4236158716378921,0.7895033388402516,0.2104966611597484,0.6107628589243089,0.3892371410756911
1041,22.0,test,0.41,-0.147733656,0.6,0.18,0.21,0.27,16.25907589,0.0,0.0,0.40633745227911133,0.8834425682610842,0.11655743173891571,0.166685128858289,0.833314871141711,0.5763153917522778,0.42368460824772225,0.5180857877515752,0.4819142122484248,0.6327695667921294,0.3672304332078707,0.7470757066140046,0.25292429338599537,0.5151798919345421,0.4848201080654579,0.5992349615095311,0.40076503849046885,0.30159012731532275,0.6984098726846772,0.46722780748007275,0.5327721925199272,0.6327080326757277,0.3672919673242722
1042,22.0,test,0.19,-0.147715889,0.85,0.1,0.28,-0.01,15.90353553,0.0,1.0,0.5415300743744855,0.2723316423115608,0.7276683576884392,0.5098811713304265,0.4901188286695735,0.620762384311357,0.379237615688643,0.4785705590762682,0.5214294409237318,0.5789063520708425,0.4210936479291575,0.49208880232262653,0.5079111976773735,0.5841822488136762,0.4158177511863238,0.43118636086544626,0.5688136391345537,0.4394897293374923,0.5605102706625077,0.5947737928512071,0.40522620714879287,0.6030397364427214,0.39696026355727865
1043,22.0,test,0.09,-0.143984789,0.71,0.17,0.81,0.04,19.32780722,0.0,0.0,0.4731407171483734,0.4271769497818122,0.5728230502181878,0.8337076174950664,0.16629238250493358,0.43127125063818716,0.5687287493618128,0.7802037757984691,0.21979622420153092,0.6153281977479366,0.38467180225206343,0.3224941393240649,0.6775058606759351,0.6950281870664747,0.30497181293352527,0.5089987685041084,0.4910012314958916,0.35358523306693856,0.6464147669330614,0.3963899048440387,0.6036100951559613,0.5098565720306146,0.49014342796938537
